"","Strain","Well","Bact_score_mean","Mean_Bact_metf_0","Mean_Bact_metf_50","Mean_Bact_metf_100","Mean_Bact_metf_200","SD_Bact_metf_0","SD_Bact_metf_50","SD_Bact_metf_100","SD_Bact_metf_200","phylogroup","fasta","Strainname","Accession","Assembly","Annotation","Broadphenotype","PG","Plate_Well","Plate","Origin","Annotation_0mM","Annotation_50mM","phylogroup_Ctyping","mash_group_Ctyping","Discard","Notes"
"458","NT12537","A4",1.09429171791931,16.0696333333333,11.7310333333333,5.8089,0.0449333333333333,0.599299060013724,0.413913147089258,1.03162878982704,0.0496290573488287,"A","NT12537_662.fasta","NILS4","PRJEB20550","662","662","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","A",NA,"No",NA
"459","NT12538","A5",1.21651942015167,13.4242,9.10636666666667,6.16793333333333,1.0565,1.64960355540354,1.83946209891189,0.441800116945812,0.551036804578424,"E","NT12538_663.fasta","NILS5","PRJEB20550","663","663","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","E",NA,"No",NA
"460","NT12539","A6",1.38844237887735,16.6683666666667,11.9621333333333,7.90193333333333,3.279,0.655050870798089,0.733305872970709,0.299735255406055,1.1046855072825,"A","NT12539_664.fasta","NILS6","PRJEB20550","664","664","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","A","A","No",NA
"461","NT12540","A7",1.14181106808325,16.6472666666667,11.0633666666667,6.4086,1.53606666666667,0.422941903023729,0.947866817297311,1.23320721292085,0.855783233846827,"A","NT12540_665.fasta","NILS7","PRJEB20550","665","665","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","A",NA,"No",NA
"462","NT12541","A8",1.29181079229087,16.2474,11.5751333333333,7.63523333333333,1.7782,0.697167347198648,0.459535268867726,1.18841058701668,1.57185996513684,"Non Escherichia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","NT12542","A9",1.14939187558373,15.8821666666667,11.4802,6.74776666666667,0.0268666666666667,0.375741378255488,0.570913907695372,0.876740721840461,0.0456711433328895,"A","NT12542_667.fasta","NILS9","PRJEB20550","667","667","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","A",NA,"No",NA
"464","NT12543","A10",1.47404951871972,15.8674,11.5088666666667,8.4658,3.41466666666667,0.791784743475144,0.0942162583280262,0.723427370231457,1.6364148750648,"A","NT12543_668.fasta","NILS10","PRJEB20550","668","668","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","A","A","No",NA
"465","NT12544","A11",1.63004929472377,13.1792333333333,11.9250666666667,8.52786666666667,1.02986666666667,0.534015845582631,0.274097361047737,1.31968913132348,1.45803220243359,"Non Escherichia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","NT12545","A12",1.59359429471975,12.5638,11.0021333333333,7.5183,1.50116666666667,1.06078425233409,0.951176142117397,0.783123496008133,2.40603305325038,"A","NT12545_670.fasta","NILS12","PRJEB20550","670","670","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","A",NA,"No",NA
"467","NT12546","B1",1.0133997395783,17.2540666666667,11.4034333333333,5.47536666666667,0.606466666666667,0.712925832982177,0.325135976682577,0.889594864718392,0.552209691451837,"A","NT12546_671.fasta","NILS13","PRJEB20550","671","671","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","A",NA,"No",NA
"468","NT12547","B2",1.06609828806696,17.1638333333333,11.0122666666667,5.63896666666667,1.6471,0.784864251532285,0.501147606333038,0.418645199821201,0.456286927272741,"A","NT12547_672.fasta","NILS14","PRJEB20550","672","672","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","A",NA,"No",NA
"469","NT12548","B3",1.3422349341824,16.0595333333333,11.4921,7.1659,2.89766666666667,0.657140794147901,0.525647971555108,0.616313288839369,2.33476637446519,"C","NT12548_673.fasta","NILS15","PRJEB20550","673","673","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","C",NA,"No",NA
"470","NT12549","B4",2.19539945837017,13.0839666666667,10.8629333333333,9.9566,7.905,0.100136922927227,0.552189046734298,0.864852287965985,0.426478967828426,"A","NT12549_674.fasta","NILS16","PRJEB20550","674","674","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","A",NA,"No",NA
"471","NT12550","B5",1.2762355176919,15.4355,10.7297666666667,7.39903333333333,1.57053333333333,1.2831965827573,0.288177589922141,0.736113648381372,1.31640850169441,"A","NT12550_675.fasta","NILS17","PRJEB20550","675","675","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","biofilm","A",NA,"No",NA
"472","NT12551","B6",1.24887033378479,16.0962,12.1141,6.8623,1.12566666666667,1.06481195992532,0.0476507082843475,1.56013393014831,0.930636477542834,"D","NT12551_676.fasta","NILS18","PRJEB20550","676","676","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","normal","D",NA,"No",NA
"473","NT12552","B7",2.45043266997337,11.5523,11.0607333333333,10.0650666666667,7.18233333333333,0.218429759877175,0.336534193408832,0.537348093262955,0.762557383633083,"B2","NT12552_677.fasta","NILS19","PRJEB20550","677","677","Pathogenic strain","PG6","PG6_6","6","ECOREF","normal","biofilm","B2",NA,"No",NA
